comment_id	comment_length	author	city	age
506323	5	313361481	0	0
506324	1	25045515	Екатеринбург	0
506325	6	134985946	Москва	19
506327	5	252569101	Новосибирск	23
506328	3	84738839	0	0
506329	6	96241077	0	0
506330	27	575299	Санкт-Петербург	0
506331	2	373431	Санкт-Петербург	0
506332	2	22797052	Ярославль	0
506334	10	163542689	0	0
506334	10	163542689	0	0
506337	1	12333037	0	0
506338	9	18531162	Калужская_Опытная_с/х_станция	0
506339	6	575299	Санкт-Петербург	0
506340	9	163542689	0	0
506341	2	2121440	Томск	34
506342	7	12583623	0	21
506343	1	137567488	Брянск	0
506344	4	126170347	Казань	17
506345	1	35803886	Тула	21
506347	10	26774811	Архангельск	25
506348	11	26774811	Архангельск	25
506349	13	26774811	Архангельск	25
506350	6	26774811	Архангельск	25
506271	4	204691	Saint_Petersburg	29
506272	3	13389901	0	0
506273	3	170408203	Большой_Содом	50
506274	3	8426228	0	0
506275	2	201920242	0	0
506276	5	8426228	0	0
506277	8	71175233	Курган	40
506278	17	24581353	Аулиеколь	116
506279	54	2850458	Москва	28
506280	8	239231212	Владивосток	0
506281	6	36440379	0	0
506282	4	20009054	Москва	0
506283	7	187228944	Владимир	0
506284	20	35612671	Санкт-Петербург	35
506287	3	24452693	0	24
506290	22	312822294	Холмск	0
506296	20	77175203	Санкт-Петербург	25
506301	11	54897291	Глубокое	0
506303	18	77175203	Санкт-Петербург	25
506304	13	6398174	0	0
506305	3	85499002	Санкт-Петербург	24
506307	5	346522061	Баку	48
506308	47	35612671	Санкт-Петербург	35
506310	36	19420575	0	0
506311	2	77988221	0	0
506313	57	312822294	Холмск	0
506314	5	20294420	Москва	0
506315	7	421449311	0	0
506318	6	351399773	0	0
506319	69	35001846	0	0
506320	17	24581353	Аулиеколь	116
506322	8	351399773	0	0
506326	14	24581353	Аулиеколь	116
506333	1	6957985	Кушва	27
506335	18	351399773	0	0
506336	21	24581353	Аулиеколь	116
506254	4	147732985	0	0
506256	3	391228909	Санкт-Петербург	116
506257	4	96241077	0	0
506258	4	10835675	0	0
506259	24	711045	Санкт-Петербург	0
506260	17	168632616	Санкт-Петербург	0
506262	1	104273436	0	0
506264	7	167791424	Санкт-Петербург	0
506265	4	110664828	Днепропетровск_(Днепр)	0
506266	2	237405	Москва	31
506267	1	3464397	0	0
506269	1	116119104	0	0
506299	2	90869041	0	0
506242	3	2092014	Москва	0
506243	2	81156527	0	0
506244	3	190403125	0	48
506245	2	194882660	0	20
506246	6	49636417	0	0
506247	4	18103068	Орёл	26
506248	2	349919076	Kragujevac	66
506249	3	203753715	Томск	0
506250	2	11692298	Сочи	26
506251	7	18747798	Минск	24
506252	2	377202026	Москва	18
506261	4	10718011	Томск	0
506263	1	104273436	0	0
506309	4	60228819	Москва	0
506228	5	8353315	Пушкино	0
506229	5	313361481	0	0
506231	5	109739327	Владивосток	0
506232	7	290189772	Киев	23
506233	2	359169856	Москва	0
506234	2	292457928	0	25
506235	2	415590829	Москва	0
506238	6	83115986	Lindenhurst	22
506189	2	21880820	0	0
506191	3	98239440	Самара	23
506192	5	98940588	Донецк	0
506193	3	138524450	Днепропетровск_(Днепр)	29
506195	10	369776942	0	0
506196	13	12937415	Москва	22
506197	20	85183915	Междуреченск	0
506199	8	98940588	Донецк	0
506200	14	314550337	Санкт-Петербург	0
506201	10	220546998	Brno	20
506202	3	361665993	Москва	28
506203	2	382466158	0	0
506204	3	141229365	0	19
506205	15	135350552	Заволжье	16
506206	10	29747173	0	34
506207	15	220546998	Brno	20
506208	17	135350552	Заволжье	16
506209	8	220546998	Brno	20
506210	16	401995851	0	116
506211	2	391228909	Санкт-Петербург	116
506212	18	86350626	Минск	23
506213	11	13787695	Железнодорожный_(Балашиха)	0
506215	9	366238260	0	27
506220	6	157719030	Саратов	0
506223	12	349825826	Череповец	0
506224	8	260877222	Новосибирск	0
506225	12	103966505	0	0
506285	4	192181699	0	0
506286	13	103966505	0	0
506288	12	192181699	0	0
506292	60	103966505	0	0
506293	26	192181699	0	0
506295	16	103966505	0	0
506297	12	192181699	0	0
506298	35	103966505	0	0
506300	10	192181699	0	0
506302	7	103966505	0	0
506317	5	14665445	0	25
506171	8	240626783	Санкт-Петербург	0
506174	10	102587656	Волгоград	0
506175	13	82562722	Санкт-Петербург	22
506177	1	185148567	0	0
506180	5	335480052	Нефтеюганск	18
506181	3	86292863	Санкт-Петербург	18
506186	6	135003548	Warszawa	19
506194	11	11320665	Ростов-на-Дону	0
506214	12	173058777	0	0
506222	1	199177751	Воронеж	0
506306	1	55428098	Екатеринбург	0
506142	5	173831525	Яровое	18
506143	7	7287901	Вологда	0
506144	7	341674701	Красноярск	0
506146	7	84763107	Алматы	24
506147	21	24581353	Аулиеколь	116
506149	1	240598845	Reykjavik	0
506150	7	98940588	Донецк	0
506151	2	4451767	Новосибирск	0
506152	3	323463990	Новосибирск	0
506153	6	43210352	Пермь	20
506155	8	42429982	0	26
506156	11	173831525	Яровое	18
506157	8	43210352	Пермь	20
506158	5	173058777	0	0
506159	5	135316884	Омск	0
506160	9	118479271	Ростов-на-Дону	0
506161	25	283886424	Ноемберян	0
506162	4	310022251	Судовая_Вишня	21
506164	8	310022251	Судовая_Вишня	21
506168	16	7094449	Москва	23
506172	2	144132224	Минск	19
506178	3	406901772	0	0
506179	12	94858200	0	0
506182	6	42429982	0	26
506183	3	34514008	Москва	29
506184	10	342726184	0	0
506198	6	35971974	Акъяр	0
506230	4	262513259	0	0
506236	1	17838310	Москва	0
506237	6	13199963	0	0
506268	2	124548612	Череповец	23
506115	7	345284936	Stockholm	0
506116	2	35823617	Минск	24
506118	3	75892910	Москва	25
506120	6	103966505	0	0
506125	8	235140731	Киров	19
506127	2	2976409	Москва	0
506128	12	21598757	Санкт-Петербург	0
506133	8	16160487	Калининград	28
506137	1	167500716	Новый_Уренгой	19
506138	1	22877654	Ставрополь	0
506145	3	23352268	0	0
506091	6	188528760	Краснодар	24
506092	14	205672900	Tallinn_(Таллин)	0
506095	18	4558559	Казань	40
506096	6	40584711	Гатчина	0
506105	12	405804	Санкт-Петербург	27
506106	13	4558559	Казань	40
506107	18	405804	Санкт-Петербург	27
506108	28	160277112	Одесса	0
506136	55	376325072	0	116
506072	2	273590970	Родники	15
506073	4	184524527	Великий_Новгород	26
506074	7	252569101	Новосибирск	23
506075	2	105584997	Екатеринбург	18
506078	11	29747173	0	34
506079	10	252569101	Новосибирск	23
506080	8	29747173	0	34
506081	17	252569101	Новосибирск	23
506084	4	207241537	Москва	0
506088	2	332875907	0	20
506094	3	349825826	Череповец	0
506097	3	16076035	Киев	25
506110	3	376013900	Ульяновск	0
506170	1	144516102	0	0
506006	5	409352507	0	0
506007	8	1653853	Санкт-Петербург	0
506008	8	96241077	0	0
506009	2	216587368	0	0
506010	6	241672536	0	0
506011	7	97875507	Прилуки	0
506012	8	1653853	Санкт-Петербург	0
506013	10	241672536	0	0
506014	25	1653853	Санкт-Петербург	0
506015	30	241672536	0	0
506016	10	241672536	0	0
506017	2	1362007	Вологда	28
506018	7	1653853	Санкт-Петербург	0
506019	6	136504957	Москва	0
506020	15	241672536	0	0
506021	8	241672536	0	0
506022	8	1653853	Санкт-Петербург	0
506023	7	96241077	0	0
506024	7	241672536	0	0
506025	3	1362007	Вологда	28
506026	2	241672536	0	0
506027	24	13834272	Львов	28
506030	1	144516102	0	0
506031	7	5865880	Пермь	29
506032	4	27036134	Киев	0
506033	35	241672536	0	0
506034	25	241672536	0	0
506036	12	241672536	0	0
506037	10	27036134	Киев	0
506038	13	811589	Красноярск	0
506039	2	241672536	0	0
506040	3	811589	Красноярск	0
506041	46	13834272	Львов	28
506042	4	811589	Красноярск	0
506043	4	10046080	Киев	0
506044	20	241672536	0	0
506045	2	241672536	0	0
506046	17	811589	Красноярск	0
506047	5	811589	Красноярск	0
506048	8	241672536	0	0
506049	2	34514008	Москва	29
506050	32	241672536	0	0
506051	47	811589	Красноярск	0
506052	8	241672536	0	0
506053	9	811589	Красноярск	0
506054	50	241672536	0	0
506055	19	811589	Красноярск	0
506056	4	241672536	0	0
506057	16	12460768	0	0
506058	5	811589	Красноярск	0
506059	10	241672536	0	0
506060	7	811589	Красноярск	0
506061	1	18871693	Москва	0
506062	6	811589	Красноярск	0
506064	19	241672536	0	0
506065	3	811589	Красноярск	0
506066	12	12460768	0	0
506068	8	28257913	Ефремов	38
506076	18	138438797	Канаш	0
506077	17	1207614	0	29
506082	11	241672536	0	0
506086	4	101715886	Washington,_D.C.	21
506087	7	180929049	Казань	26
506099	14	252587992	Холмская	0
505983	3	229352107	0	0
505984	2	16762813	Praha	26
505985	3	200197676	0	0
505986	2	16772704	Королёв	0
505987	4	22797052	Ярославль	0
505989	4	154455915	0	20
505991	1	182325346	0	0
505992	3	173831525	Яровое	18
505993	13	302984513	Омск	22
505994	3	3620549	Санкт-Петербург	0
505996	5	15936394	Нижний_Новгород	113
505997	9	414780165	Норильск	108
505998	7	20461760	Днепропетровск_(Днепр)	24
505999	1	266642993	Алматы	0
506000	1	181810617	Москва	0
506002	2	285176567	0	0
506100	5	269077024	Хабаровск	0
506111	7	376013900	Ульяновск	0
505950	3	226522535	0	0
505951	2	258363642	Балаклея	15
505952	7	79944520	Кривой_Рог	18
505954	6	136549228	0	0
505956	10	416067237	0	20
505957	2	31234830	Москва	18
505959	8	124305793	0	0
505960	1	27250210	Санкт-Петербург	23
505961	6	44230411	Калининград	21
505962	6	212375829	0	0
505963	14	160576460	0	0
505964	2	352056323	0	0
