post_id	post_length
506404	8
506375	6
506359	7
506321	8
506312	174
506270	8
506253	7
506240	13
506226	23
506188	9
506169	14
506139	18
506114	9
506090	19
506071	7
506004	18
505982	9
505949	8
505932	16
505902	8
505848	14
505814	9
505806	18
505779	16
505744	10
505714	8
505679	14
505651	19
505615	13
505532	2
505486	9
505475	11
505450	10
505421	35
505389	13
505366	7
505353	83
505316	12
505295	12
505258	16
505239	10
505208	32
505177	10
505083	11
505057	10
505034	14
504998	10
504949	8
504887	11
504869	15
504852	9
504834	14
504817	9
504788	11
504771	27
504743	8
504716	7
504675	13
504637	7
504613	10
504581	12
504560	6
504529	10
504523	41
504507	19
504489	19
504473	6
504448	20
504404	25
504358	15
504300	6
504118	12
504026	19
504004	14
503989	27
503974	10
503956	11
503942	44
503914	10
503895	35
503864	29
503841	15
503826	10
503802	9
503786	7
503769	23
503762	22
503747	9
503723	10
503695	28
503684	36
503661	7
503642	11
503612	11
503575	18
503560	13
503524	7
503486	14
503436	10
503403	9
503368	13
503327	21
503307	7
503283	17
503215	51
503188	34
503154	21
503113	20
503101	147
503082	3
503011	8
502972	12
502947	16
502930	12
502914	9
502904	95
502877	8
502861	13
502835	13
502813	16
502790	110
502763	8
502730	17
502723	107
502700	6
502665	9
502610	8
502568	17
502538	10
502518	23
502513	77
502484	21
502442	10
502393	19
502369	29
502340	33
502290	12
502257	9
502210	18
502198	14
502160	9
502138	10
502120	9
501994	16
501918	9
501905	112
501870	8
501851	8
501833	12
501818	7
501716	10
501674	11
501638	8
501623	16
501587	12
501567	7
501526	10
501499	10
501457	12
501451	16
501430	17
501413	13
501376	15
501360	9
501338	17
501325	26
501295	9
501283	115
501224	20
501207	10
501191	73
501175	13
501158	11
501128	19
501106	36
501066	174
501020	10
500991	9
500935	19
500912	11
500883	18
500861	21
500849	19
500799	19
500691	1
500666	52
500622	9
500586	21
500570	8
500547	7
500522	12
500512	174
500471	8
500454	16
500427	10
500412	14
500375	8
500360	10
500293	10
500257	19
500240	12
500221	10
500194	9
500174	20
500155	11
500103	8
500078	10
500042	97
499973	8
499929	21
499915	9
499883	14
499846	21
499816	33
499762	8
499714	17
499685	114
499643	17
499606	11
499548	11
499477	17
499460	23
499448	155
499425	22
499398	15
499371	16
499345	9
499300	32
499273	8
499227	11
499226	7
499182	21
499167	19
499126	8
499108	19
499087	11
499048	19
499029	50
498977	10
498948	18
498917	19
498852	10
498816	32
498788	13
498765	8
498748	122
498693	13
498652	12
498612	16
498583	9
498543	9
498517	10
498463	17
498425	15
498383	21
498359	14
498308	25
498260	15
498163	19
497885	15
497861	8
497766	26
497750	12
497731	21
497717	13
497695	11
497677	23
497640	9
497606	40
497574	40
497548	16
497502	10
497483	7
497450	15
497427	12
497389	13
497360	11
497333	29
497312	16
497295	16
497282	126
497258	1
497230	7
497210	18
497180	25
497138	13
497124	17
497103	9
497088	13
497073	22
497041	10
496986	14
496946	8
496925	13
496896	15
496875	27
496841	10
496797	10
496760	15
496714	9
496691	17
496678	7
496650	12
496641	56
496616	56
496589	7
496570	1
496539	8
496522	38
496496	14
496470	11
496441	7
496422	17
496405	10
496396	68
496361	13
496342	15
496313	14
496292	7
496266	26
496228	3
496200	10
496155	18
496127	11
496096	11
496080	6
496058	5
496045	7
496017	16
495991	12
495970	7
495953	14
495910	19
495906	102
495885	11
495870	15
495853	71
495834	9
495800	11
495741	14
495720	15
495676	11
495645	14
495619	134
495527	15
495497	9
495474	6
495435	11
495422	21
495406	15
495362	18
495293	19
495279	16
495254	6
495206	9
495153	9
495046	10
495018	10
494981	12
494954	35
494916	21
494892	41
494875	18
494845	8
494804	8
494772	10
494746	9
494721	8
494709	9
494668	32
494634	16
494592	8
494565	7
494544	11
494512	9
494497	9
494450	13
494317	9
494186	11
494162	13
494135	8
494113	8
494091	14
494062	54
494030	8
493999	6
493917	12
493891	18
493853	8
493827	10
493789	8
493728	30
493705	12
493644	12
493621	8
493569	22
493478	11
493453	12
493418	10
493386	16
493372	16
493339	19
493314	13
493302	12
493268	11
493250	13
493228	210
493164	16
493132	7
493072	6
493008	10
492959	137
492936	30
492894	11
492852	14
492827	18
492785	17
492764	8
492747	18
492723	10
492705	12
492686	16
492663	12
492635	9
492606	11
492588	15
492544	18
492507	17
492491	14
492462	19
492441	40
492422	13
492380	25
492337	8
492290	13
492220	21
492198	15
492173	9
492140	9
492128	59
492112	14
492097	41
492048	13
